k,rep,rule,mase,smape,rmsse,owa
2,0,equal,1.3776,0.1213,1.1677,0.8307
2,0,inv_error_series,1.3473,0.1195,1.1414,0.8155
2,1,equal,1.3195,0.1188,1.128,0.8047
2,1,inv_error_series,1.3169,0.1185,1.1263,0.803
2,2,equal,1.38,0.1205,1.1731,0.8286
2,2,inv_error_series,1.3597,0.1194,1.1563,0.8186
2,3,equal,1.308,0.1164,1.1128,0.793
2,3,inv_error_series,1.305,0.1164,1.1102,0.7922
2,4,equal,1.3184,0.1181,1.1278,0.802
2,4,inv_error_series,1.3059,0.1174,1.1168,0.7958
2,5,equal,1.328,0.1174,1.1368,0.8024
2,5,inv_error_series,1.3168,0.1169,1.1271,0.7971
2,6,equal,1.3787,0.1217,1.1707,0.8322
2,6,inv_error_series,1.355,0.1201,1.1521,0.8196
2,7,equal,1.3239,0.1188,1.1328,0.806
2,7,inv_error_series,1.3217,0.1186,1.131,0.8048
2,8,equal,1.3691,0.1209,1.1665,0.8268
2,8,inv_error_series,1.3476,0.1195,1.1491,0.8156
2,9,equal,1.372,0.1173,1.1699,0.8149
2,9,inv_error_series,1.3531,0.117,1.154,0.8083
2,10,equal,1.33,0.1165,1.1378,0.7996
2,10,inv_error_series,1.3224,0.1166,1.1312,0.7977
2,11,equal,1.3049,0.1149,1.1144,0.7868
2,11,inv_error_series,1.2926,0.1147,1.1038,0.7826
2,12,equal,1.3464,0.1167,1.1463,0.8054
2,12,inv_error_series,1.3255,0.1163,1.1281,0.7976
2,13,equal,1.3058,0.1142,1.1133,0.7845
2,13,inv_error_series,1.3012,0.1142,1.1094,0.7831
2,14,equal,1.3564,0.1176,1.1558,0.8112
2,14,inv_error_series,1.3406,0.1172,1.1426,0.8054
2,15,equal,1.2992,0.1149,1.1075,0.785
2,15,inv_error_series,1.298,0.1149,1.1067,0.7847
2,16,equal,1.3161,0.1154,1.1226,0.7919
2,16,inv_error_series,1.3133,0.1157,1.1206,0.792
2,17,equal,1.3564,0.1162,1.1552,0.8066
2,17,inv_error_series,1.327,0.1157,1.1283,0.7959
2,18,equal,1.3074,0.1149,1.1138,0.7874
2,18,inv_error_series,1.3057,0.1151,1.1124,0.7877
