freq,model,split,seconds
hourly,naive2,val,2.5
hourly,naive2,test,2.5
hourly,autotheta,val,6.2
hourly,autotheta,test,5.5
hourly,autoets,val,24.0
hourly,autoets,test,25.3
hourly,autoarima,val,1691.1
hourly,autoarima,test,1147.1
hourly,chronos-t5-small,val,148.6
hourly,chronos-t5-small,test,114.5
hourly,chronos-t5-base,val,469.4
hourly,chronos-t5-base,test,381.8
hourly,chronos-t5-large,val,1283.3
hourly,chronos-t5-large,test,1270.9
hourly,chronos-bolt-base,val,5.7
hourly,chronos-bolt-base,test,2.8
hourly,timesfm-2.5-200m,val,8.9
hourly,timesfm-2.5-200m,test,7.1
daily,naive2,val,2.5
daily,naive2,test,1.6
daily,autotheta,val,18.5
daily,autotheta,test,19.7
daily,autoets,val,7.3
daily,autoets,test,7.1
daily,autoarima,val,33.9
daily,autoarima,test,38.4
daily,chronos-t5-small,val,465.5
daily,chronos-t5-small,test,465.0
daily,chronos-t5-base,val,1725.8
daily,chronos-t5-base,test,1652.2
daily,chronos-t5-large,val,5721.9
daily,chronos-t5-large,test,5743.1
daily,chronos-bolt-base,val,31.8
daily,chronos-bolt-base,test,30.0
daily,timesfm-2.5-200m,val,70.0
daily,timesfm-2.5-200m,test,68.1
weekly,naive2,val,2.2
weekly,naive2,test,1.3
weekly,autotheta,val,5.4
weekly,autotheta,test,4.4
weekly,autoets,val,1.8
weekly,autoets,test,1.8
weekly,autoarima,val,7.8
weekly,autoarima,test,7.9
weekly,chronos-t5-small,val,40.5
weekly,chronos-t5-small,test,39.0
weekly,chronos-t5-base,val,145.8
weekly,chronos-t5-base,test,142.7
weekly,chronos-t5-large,val,464.2
weekly,chronos-t5-large,test,460.0
weekly,chronos-bolt-base,val,5.2
weekly,chronos-bolt-base,test,2.4
weekly,timesfm-2.5-200m,val,7.9
weekly,timesfm-2.5-200m,test,6.2
monthly,naive2,val,4.1
monthly,naive2,test,3.7
monthly,autotheta,val,130.8
monthly,autotheta,test,146.3
monthly,autoets,val,382.1
monthly,autoets,test,416.2
monthly,autoarima,val,5524.4
monthly,autoarima,test,8540.9
monthly,chronos-t5-small,val,5356.4
monthly,chronos-t5-small,test,5181.9
monthly,chronos-t5-base,val,16985.9
monthly,chronos-t5-base,test,20957.1
monthly,chronos-t5-large,val,54982.6
monthly,chronos-t5-large,test,58473.0
monthly,chronos-bolt-base,val,274.8
monthly,chronos-bolt-base,test,273.9
monthly,timesfm-2.5-200m,val,812.3
monthly,timesfm-2.5-200m,test,810.6
quarterly,naive2,val,3.2
quarterly,naive2,test,2.2
quarterly,autotheta,val,14.2
quarterly,autotheta,test,16.1
quarterly,autoets,val,65.3
quarterly,autoets,test,70.7
quarterly,autoarima,val,406.9
quarterly,autoarima,test,434.8
quarterly,chronos-t5-small,val,897.8
quarterly,chronos-t5-small,test,914.4
quarterly,chronos-t5-base,val,2916.5
quarterly,chronos-t5-base,test,3008.1
quarterly,chronos-t5-large,val,9863.3
quarterly,chronos-t5-large,test,19642.6
quarterly,chronos-bolt-base,val,575.5
quarterly,chronos-bolt-base,test,95.7
quarterly,timesfm-2.5-200m,val,808.8
quarterly,timesfm-2.5-200m,test,447.8
yearly,naive2,val,6.0
yearly,naive2,test,2.0
yearly,autotheta,val,4.1
yearly,autotheta,test,4.7
yearly,autoets,val,4.3
yearly,autoets,test,4.6
yearly,autoarima,val,91.2
yearly,autoarima,test,111.3
yearly,chronos-t5-small,val,428.0
yearly,chronos-t5-small,test,276.4
yearly,chronos-t5-base,val,844.7
yearly,chronos-t5-base,test,765.6
yearly,chronos-t5-large,val,3979.4
yearly,chronos-t5-large,test,2593.8
yearly,chronos-bolt-base,val,20.6
yearly,chronos-bolt-base,test,18.0
yearly,timesfm-2.5-200m,val,122.7
yearly,timesfm-2.5-200m,test,117.9
