rule,freq,mean_tv,mean_neff
best_single_val,daily,0.8889,1.0
best_single_val,hourly,0.8889,1.0
best_single_val,monthly,0.8889,1.0
best_single_val,quarterly,0.8889,1.0
best_single_val,weekly,0.8889,1.0
best_single_val,yearly,0.8889,1.0
inv_error_global,daily,0.0069,8.9987
inv_error_global,hourly,0.1366,8.5545
inv_error_global,monthly,0.0249,8.9718
inv_error_global,quarterly,0.0212,8.9781
inv_error_global,weekly,0.0421,8.959
inv_error_global,yearly,0.0432,8.9321
inv_error_series,daily,0.0772,8.7857
inv_error_series,hourly,0.1686,8.1451
inv_error_series,monthly,0.1235,8.4932
inv_error_series,quarterly,0.1288,8.4573
inv_error_series,weekly,0.1354,8.4037
inv_error_series,yearly,0.1379,8.3827
inv_rank_global,daily,0.3147,6.7542
inv_rank_global,hourly,0.3147,6.7542
inv_rank_global,monthly,0.3147,6.7542
inv_rank_global,quarterly,0.3147,6.7542
inv_rank_global,weekly,0.3147,6.7542
inv_rank_global,yearly,0.3147,6.7542
inv_rank_series,daily,0.3147,6.7542
inv_rank_series,hourly,0.3147,6.7542
inv_rank_series,monthly,0.3147,6.7542
inv_rank_series,quarterly,0.3147,6.7542
inv_rank_series,weekly,0.3147,6.7542
inv_rank_series,yearly,0.3147,6.7542
nnls_series,daily,0.8259,1.4469
nnls_series,hourly,0.6889,2.4996
nnls_series,monthly,0.7627,1.9187
nnls_series,quarterly,0.7891,1.7147
nnls_series,weekly,0.7913,1.6974
nnls_series,yearly,0.8447,1.3093
trim1_equal,daily,0.1111,8.0
trim1_equal,hourly,0.1111,8.0
trim1_equal,monthly,0.1111,8.0
trim1_equal,quarterly,0.1111,8.0
trim1_equal,weekly,0.1111,8.0
trim1_equal,yearly,0.1111,8.0
