freq,model,split,seconds,n_nonfinite_fixed,n_series
quarterly,chronos-t5-large,test,19642.6,0,20851
quarterly,chronos-bolt-base,val,575.53,0,20851
quarterly,chronos-bolt-base,test,95.74,0,20851
quarterly,timesfm-2.5-200m,val,808.82,0,20851
quarterly,timesfm-2.5-200m,test,447.83,0,20851
yearly,naive2,val,5.97,0,7311
yearly,naive2,test,2.04,0,7311
yearly,autotheta,val,4.09,0,7311
yearly,autotheta,test,4.74,0,7311
yearly,autoets,val,4.27,0,7311
yearly,autoets,test,4.62,0,7311
yearly,autoarima,val,91.25,0,7311
yearly,autoarima,test,111.32,0,7311
yearly,chronos-t5-small,val,428.0,0,7311
yearly,chronos-t5-small,test,276.37,0,7311
yearly,chronos-t5-base,val,844.74,0,7311
yearly,chronos-t5-base,test,765.64,0,7311
yearly,chronos-t5-large,val,3979.37,0,7311
yearly,chronos-t5-large,test,2593.82,0,7311
yearly,chronos-bolt-base,val,20.56,0,7311
yearly,chronos-bolt-base,test,18.02,0,7311
yearly,timesfm-2.5-200m,val,122.74,0,7311
yearly,timesfm-2.5-200m,test,117.93,0,7311
