freq,method,mase,smape,rmsse,owa
overall,timesfm-2.5-200m,1.3423,0.1197,1.1462,0.8145
overall,autoarima,1.3482,0.1212,1.1416,0.8216
overall,autoets,1.3419,0.1206,1.1363,0.8178
overall,autotheta,1.3384,0.1187,1.1353,0.81
overall,chronos-bolt-base,1.3458,0.1191,1.1486,0.8134
overall,chronos-t5-base,1.3767,0.1246,1.1805,0.842
overall,chronos-t5-large,1.3629,0.1226,1.1685,0.8308
overall,chronos-t5-small,1.3829,0.1242,1.1856,0.8423
overall,combo/best_single_val,1.3433,0.1203,1.1464,0.8172
overall,naive2,1.7071,0.142,1.4524,1.0
overall,combo/inv_error_global,1.282,0.1136,1.0942,0.7755
overall,combo/inv_error_series,1.2766,0.1132,1.09,0.7727
overall,combo/inv_rank_global,1.2791,0.1142,1.0907,0.7767
overall,combo/inv_rank_series,1.2779,0.1136,1.0916,0.7741
overall,combo/median,1.2858,0.1135,1.0999,0.7762
overall,combo/nnls_series,1.3251,0.1176,1.1296,0.8021
overall,combo/oracle_best,0.9087,0.0829,0.8077,0.558
overall,combo/trim1_equal,1.2797,0.1136,1.0927,0.7747
overall,combo/equal,1.2857,0.1138,1.0972,0.7773
weekly,chronos-t5-large,1.9585,0.059,1.366,
weekly,chronos-t5-small,2.0763,0.0625,1.4338,
weekly,combo/best_single_val,1.9825,0.0618,1.3897,
weekly,combo/inv_rank_global,1.8495,0.0564,1.2912,
weekly,combo/inv_error_global,1.9361,0.0618,1.3548,
weekly,combo/inv_error_series,1.8569,0.058,1.3016,
weekly,chronos-t5-base,1.953,0.0591,1.3519,
weekly,combo/equal,1.9641,0.0631,1.3736,
weekly,chronos-bolt-base,2.1174,0.0627,1.4438,
quarterly,timesfm-2.5-200m,1.2271,0.106,1.0603,
weekly,autoets,2.5479,0.0893,1.7194,
weekly,autoarima,2.2524,0.0867,1.5824,
weekly,combo/inv_rank_series,1.8589,0.0578,1.3039,
quarterly,naive2,1.6274,0.128,1.3819,
quarterly,combo/trim1_equal,1.1673,0.1014,1.0072,
quarterly,combo/oracle_best,0.8296,0.0744,0.7435,
quarterly,combo/nnls_series,1.2087,0.1065,1.0404,
quarterly,combo/median,1.1705,0.1015,1.0124,
quarterly,combo/inv_rank_series,1.1711,0.1021,1.0095,
quarterly,combo/inv_rank_global,1.1584,0.101,0.9961,
weekly,autotheta,2.536,0.0936,1.747,
weekly,combo/median,1.9057,0.059,1.3357,
weekly,timesfm-2.5-200m,1.9674,0.0609,1.3821,
weekly,combo/oracle_best,1.4186,0.0463,1.0282,
yearly,timesfm-2.5-200m,3.1527,0.1196,2.5671,
yearly,naive2,3.9381,0.132,3.2955,
yearly,combo/trim1_equal,3.0309,0.1133,2.4659,
yearly,combo/oracle_best,1.9172,0.0759,1.6202,
yearly,combo/nnls_series,3.2205,0.1202,2.6197,
yearly,combo/median,3.0588,0.1144,2.4914,
yearly,combo/inv_rank_series,3.0138,0.1129,2.4545,
yearly,combo/inv_rank_global,2.9789,0.1112,2.4128,
yearly,combo/inv_error_series,3.0123,0.113,2.4497,
yearly,combo/inv_error_global,3.0022,0.1126,2.4406,
yearly,combo/equal,3.0021,0.1126,2.4421,
yearly,combo/best_single_val,3.1855,0.1191,2.5954,
yearly,chronos-t5-small,3.31,0.1252,2.7053,
yearly,chronos-t5-large,3.3036,0.1247,2.6989,
quarterly,combo/inv_error_series,1.1681,0.1014,1.0074,
yearly,chronos-bolt-base,3.2009,0.1212,2.6201,
yearly,autotheta,3.0014,0.1125,2.4141,
yearly,autoets,3.0726,0.1134,2.4794,
yearly,autoarima,3.4311,0.1244,2.7604,
weekly,naive2,2.7773,0.0916,1.9005,
