freq,model,split,seconds,n_nonfinite_fixed,n_series
hourly,chronos-t5-base,val,187.05,0,150
hourly,chronos-t5-base,test,168.57,0,150
hourly,timesfm-2.5-200m,val,6.35,0,150
hourly,timesfm-2.5-200m,test,4.67,0,150
daily,naive2,val,2.28,0,150
daily,naive2,test,1.56,0,150
daily,autotheta,val,2.02,0,150
daily,autotheta,test,2.42,0,150
daily,autoets,val,1.79,0,150
daily,autoets,test,2.86,0,150
daily,autoarima,val,5.1,0,150
daily,autoarima,test,3.44,0,150
daily,chronos-t5-small,val,20.62,0,150
daily,chronos-t5-small,test,17.14,0,150
daily,chronos-t5-base,val,69.09,0,150
daily,chronos-t5-base,test,65.03,0,150
daily,timesfm-2.5-200m,val,6.39,0,150
daily,timesfm-2.5-200m,test,4.81,0,150
weekly,naive2,val,2.1,0,150
weekly,naive2,test,1.42,0,150
weekly,autotheta,val,2.86,0,150
weekly,autotheta,test,2.45,0,150
weekly,autoets,val,1.66,0,150
weekly,autoets,test,1.6,0,150
weekly,autoarima,val,4.07,0,150
weekly,autoarima,test,4.17,0,150
weekly,chronos-t5-small,val,18.26,0,150
weekly,chronos-t5-small,test,16.36,0,150
weekly,chronos-t5-base,val,86.92,0,150
weekly,chronos-t5-base,test,62.59,0,150
weekly,timesfm-2.5-200m,val,5.84,0,150
weekly,timesfm-2.5-200m,test,4.13,0,150
monthly,naive2,val,1.76,0,150
monthly,naive2,test,1.45,0,150
monthly,autotheta,val,1.83,0,150
monthly,autotheta,test,1.75,0,150
monthly,autoets,val,2.62,0,150
monthly,autoets,test,2.71,0,150
monthly,autoarima,val,29.96,0,150
monthly,autoarima,test,17.39,0,150
monthly,chronos-t5-small,val,19.6,0,150
monthly,chronos-t5-small,test,18.09,0,150
monthly,chronos-t5-base,val,66.11,0,150
monthly,chronos-t5-base,test,62.68,0,150
monthly,timesfm-2.5-200m,val,5.88,0,150
monthly,timesfm-2.5-200m,test,4.12,0,150
quarterly,naive2,val,1.74,0,137
quarterly,naive2,test,1.41,0,137
quarterly,autotheta,val,1.47,0,137
quarterly,autotheta,test,1.49,0,137
quarterly,autoets,val,1.84,0,137
quarterly,autoets,test,1.84,0,137
quarterly,autoarima,val,4.36,0,137
quarterly,autoarima,test,4.77,0,137
quarterly,chronos-t5-small,val,7.99,0,137
quarterly,chronos-t5-small,test,6.4,0,137
quarterly,chronos-t5-base,val,21.45,0,137
quarterly,chronos-t5-base,test,20.69,0,137
quarterly,timesfm-2.5-200m,val,5.14,0,137
quarterly,timesfm-2.5-200m,test,3.91,0,137
yearly,naive2,val,1.42,0,46
yearly,naive2,test,1.41,0,46
yearly,autotheta,val,1.4,0,46
yearly,autotheta,test,1.42,0,46
yearly,autoets,val,1.4,0,46
yearly,autoets,test,1.41,0,46
yearly,autoarima,val,1.67,0,46
yearly,autoarima,test,1.64,0,46
yearly,chronos-t5-small,val,2.81,0,46
yearly,chronos-t5-small,test,1.37,0,46
yearly,chronos-t5-base,val,5.52,0,46
yearly,chronos-t5-base,test,4.34,0,46
yearly,timesfm-2.5-200m,val,2.64,0,46
yearly,timesfm-2.5-200m,test,1.31,0,46
