freq,method,mase,smape,rmsse,owa
overall,timesfm-2.5-200m,1.8293,0.0833,1.4348,0.8007
overall,autoarima,1.8952,0.0967,1.4791,0.8777
overall,autoets,2.0443,0.1039,1.6096,0.9448
overall,autotheta,2.0352,0.1001,1.6119,0.9255
overall,chronos-t5-base,1.8722,0.0843,1.4647,0.8154
overall,chronos-t5-small,1.8255,0.0831,1.443,0.7989
overall,combo/best_single_val,1.8224,0.0881,1.4309,0.8216
overall,combo/equal,1.8071,0.0842,1.4196,0.7998
overall,naive2,2.2008,0.1081,1.7439,1.0
overall,combo/inv_error_series,1.7584,0.081,1.3785,0.7743
overall,combo/inv_rank_series,1.7681,0.0823,1.3877,0.7823
overall,combo/median,1.8131,0.084,1.4245,0.8003
overall,combo/nnls_series,1.8258,0.085,1.4286,0.8078
overall,combo/oracle_best,1.3665,0.0623,1.0988,0.5988
overall,combo/trim1_equal,1.7795,0.0829,1.3986,0.7878
overall,combo/inv_error_global,1.7834,0.0822,1.3997,0.7855
weekly,combo/inv_rank_series,1.9575,0.0652,1.3743,
weekly,combo/inv_error_series,1.9533,0.0656,1.3715,
weekly,combo/inv_error_global,2.0587,0.0719,1.4474,
weekly,combo/equal,2.0768,0.0731,1.46,
weekly,combo/best_single_val,2.0009,0.0679,1.401,
weekly,chronos-t5-small,2.0857,0.0656,1.4655,
weekly,chronos-t5-base,2.0789,0.0653,1.4416,
weekly,autotheta,2.38,0.0987,1.6634,
quarterly,timesfm-2.5-200m,1.2971,0.1102,1.1065,
weekly,autoarima,2.2241,0.0958,1.558,
weekly,combo/median,2.1686,0.0848,1.5256,
quarterly,naive2,1.621,0.1315,1.3715,
quarterly,combo/trim1_equal,1.2341,0.104,1.0591,
quarterly,combo/oracle_best,0.9195,0.0802,0.8159,
quarterly,combo/nnls_series,1.2717,0.1109,1.0866,
quarterly,combo/median,1.2526,0.1059,1.0732,
quarterly,combo/inv_rank_series,1.251,0.1066,1.0724,
weekly,autoets,2.3245,0.0943,1.625,
weekly,combo/nnls_series,1.9939,0.0676,1.3856,
weekly,naive2,2.5955,0.0984,1.8254,
weekly,combo/trim1_equal,2.0119,0.0704,1.4183,
yearly,timesfm-2.5-200m,3.186,0.0845,2.5639,
yearly,naive2,4.3372,0.111,3.663,
yearly,combo/trim1_equal,2.878,0.0781,2.3522,
yearly,combo/oracle_best,1.6811,0.0483,1.4296,
yearly,combo/nnls_series,3.1357,0.0862,2.6107,
yearly,combo/median,3.0561,0.0824,2.4682,
yearly,combo/inv_rank_series,2.8283,0.0777,2.3235,
yearly,combo/inv_error_series,2.8373,0.0769,2.3121,
yearly,combo/inv_error_global,2.8071,0.076,2.2947,
